"","Day","Month","Year","Waterbody","Site","Sex","CW","Color","Barnacles","YearClass","TrapType","X","X.1","age_march","age_feb","sex_int"
"22",13,5,2021,"Drayton Harbor","South","Male",57,"Green","No",2020,"Fukui",NA,NA,1.22222222222222,1.25,2
"23",14,5,2021,"Drayton Harbor","Dakota Creek","Female",55,"Orange","No",2020,"Fukui",NA,NA,1.22222222222222,1.25,1
"24",14,5,2021,"Drayton Harbor","Dakota Creek","Male",49,"Yellow","No",2020,"Minnow",NA,NA,1.22222222222222,1.25,2
"25",14,5,2021,"Drayton Harbor","Dakota Creek","Male",47,"Yellow","No",2020,"Minnow",NA,NA,1.22222222222222,1.25,2
"26",14,5,2021,"Drayton Harbor","Dakota Creek","Female",71.5,"Red/Orange","Yes",2019,"Fukui",NA,NA,2.22222222222222,2.25,1
"71",24,8,2021,"Drayton Harbor","Dakota Creek","Male",83,"Red/Orange","No",2019,"Shrimp",NA,NA,2.55555555555556,2.5,2
"74",24,8,2021,"Drayton Harbor","Dakota Creek","Female",76,"Yellow","No",2019,"Shrimp",NA,NA,2.55555555555556,2.5,1
"77",25,8,2021,"Drayton Harbor","Central","Male",84,"Red Orange","Yes",2019,"Shrimp",NA,NA,2.55555555555556,2.5,2
"86",2,9,2021,"Drayton Harbor","California Creek","Male",38,"Green","No",2021,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"104",15,9,2021,"Drayton Harbor","Dakota Creek","Male",31,"Light-Green","No",2021,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"115",17,9,2021,"Drayton Harbor","Dakota Creek","Male",38,"Yellow","No",2021,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"150",3,5,2022,"Drayton Harbor","Dakota Creek","Male",41.5,"Light-Green","N",2021,"Shrimp",NA,NA,1.22222222222222,1.25,2
"159",17,5,2022,"Drayton Harbor","North","Female",46.5,"Light-Green","N",2021,"Fukui",NA,NA,1.22222222222222,1.25,1
"160",17,5,2022,"Drayton Harbor","Dakota Creek","Male",65,"Light-Green","N",2021,"Shrimp",NA,NA,1.22222222222222,1.25,2
"173",15,6,2022,"Drayton Harbor","Dakota Creek","Female",52,"Green","N",2021,"Minnow",NA,NA,1.33333333333333,1.33333333333333,1
"178",28,6,2022,"Drayton Harbor","Dakota Creek","Male",67,"Yellow","Y",2021,"Shrimp",NA,NA,1.33333333333333,1.33333333333333,2
"180",28,6,2022,"Drayton Harbor","Dakota Creek","Male",73,"Green","N",2021,"Shrimp",NA,NA,1.33333333333333,1.33333333333333,2
"182",28,6,2022,"Drayton Harbor","Dakota Creek","Male",63,"Yellow","N",2021,"Shrimp",NA,NA,1.33333333333333,1.33333333333333,2
"185",29,6,2022,"Drayton Harbor","Dakota Creek","Male",66,"Yellow","Y",2021,"Shrimp",NA,NA,1.33333333333333,1.33333333333333,2
"186",29,6,2022,"Drayton Harbor","Dakota Creek","Male",71,"Yellow","N",2021,"Shrimp",NA,NA,1.33333333333333,1.33333333333333,2
"188",29,6,2022,"Drayton Harbor","Dakota Creek","Male",70,"Yellow","N",2021,"Shrimp",NA,NA,1.33333333333333,1.33333333333333,2
"189",29,6,2022,"Drayton Harbor","Dakota Creek","Male",72,"Yellow","N",2021,"Shrimp",NA,NA,1.33333333333333,1.33333333333333,2
"191",30,6,2022,"Drayton Harbor","North","Female",50,"Green","N",2021,"Fukui",NA,NA,1.33333333333333,1.33333333333333,1
"193",30,6,2022,"Drayton Harbor","Dakota Creek","Male",71,"Red/Orange","Y",2021,"Shrimp",NA,NA,1.33333333333333,1.33333333333333,2
"194",30,6,2022,"Drayton Harbor","Dakota Creek","Male",69,"Red/Orange","Y",2021,"Shrimp",NA,NA,1.33333333333333,1.33333333333333,2
"203",6,7,2022,"Drayton Harbor","North","Male",56,"Light-Green","N",2021,"Shrimp",NA,NA,1.44444444444444,1.41666666666667,2
"206",20,7,2022,"Drayton Harbor","North","Male",70,"Yellow","N",2021,"Shrimp",NA,NA,1.44444444444444,1.41666666666667,2
"210",20,7,2022,"Drayton Harbor","North","Male",72,"Yellow","N",2021,"Shrimp",NA,NA,1.44444444444444,1.41666666666667,2
"211",22,7,2022,"Drayton Harbor","North","Male",65,"Yellow","N",2021,"Shrimp",NA,NA,1.44444444444444,1.41666666666667,2
"217",26,7,2022,"Drayton Harbor","North","Male",65,"Yellow/Orange","N",2021,"Shrimp",NA,NA,1.44444444444444,1.41666666666667,2
"218",26,7,2022,"Drayton Harbor","California Creek","Female",54,"Green/Yellow","N",2021,"Minnow",NA,NA,1.44444444444444,1.41666666666667,1
"220",27,7,2022,"Drayton Harbor","North","Male",60,"Yellow","N",2021,"Shrimp",NA,NA,1.44444444444444,1.41666666666667,2
"221",27,7,2022,"Drayton Harbor","North","Female",56.5,"Green/Yellow","N",2021,"Shrimp",NA,NA,1.44444444444444,1.41666666666667,1
"227",3,8,2022,"Drayton Harbor","North","Male",67,"Green","N",2021,"Shrimp",NA,NA,1.55555555555556,1.5,2
"228",5,8,2022,"Drayton Harbor","North","Male",56,"Yellow","N",2021,"Shrimp",NA,NA,1.55555555555556,1.5,2
"233",9,8,2022,"Drayton Harbor","Dakota Creek","Male",65,"Green/Yellow","N",2021,"Shrimp",NA,NA,1.55555555555556,1.5,2
"237",10,8,2022,"Drayton Harbor","North","Female",58,"Green","N",2021,"Shrimp",NA,NA,1.55555555555556,1.5,1
"239",10,8,2022,"Drayton Harbor","Dakota Creek","Male",72,"Yellow/Orange","N",2021,"Shrimp",NA,NA,1.55555555555556,1.5,2
"243",12,8,2022,"Drayton Harbor","Dakota Creek","Male",72.5,"Yellow","N",2021,"Shrimp",NA,NA,1.55555555555556,1.5,2
"246",12,8,2022,"Drayton Harbor","Dakota Creek","Male",60,"Green/Yellow","N",2021,"Shrimp",NA,NA,1.55555555555556,1.5,2
"250",24,8,2022,"Drayton Harbor","Dakota Creek","Male",72,"Orange","Y",2021,"Shrimp",NA,NA,1.55555555555556,1.5,2
"252",25,8,2022,"Drayton Harbor","North","Male",75,"Yellow/Orange","Y",2021,"Shrimp",NA,NA,1.55555555555556,1.5,2
"254",7,9,2022,"Drayton Harbor","Dakota Creek","Male",74,"Orange","Y",2021,"Shrimp",NA,NA,1.66666666666667,1.58333333333333,2
"258",13,9,2022,"Drayton Harbor","East","Female",41,"Light-Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"259",13,9,2022,"Drayton Harbor","East","Female",32,"Light-Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,1
"261",20,9,2022,"Drayton Harbor","East","Male",33.5,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"262",20,9,2022,"Drayton Harbor","East","Male",39,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"263",20,9,2022,"Drayton Harbor","East","Male",36,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"264",20,9,2022,"Drayton Harbor","East","Female",35.5,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"265",20,9,2022,"Drayton Harbor","East","Female",43.5,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"266",20,9,2022,"Drayton Harbor","Dakota Creek","Female",39.5,"Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,1
"267",20,9,2022,"Drayton Harbor","Dakota Creek","Male",39.5,"Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,2
"270",20,9,2022,"Drayton Harbor","Dakota Creek","Male",42,"Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,2
"271",20,9,2022,"Drayton Harbor","Dakota Creek","Male",46,"Yellow-Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,2
"272",20,9,2022,"Drayton Harbor","Dakota Creek","Female",38.5,"Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,1
"273",20,9,2022,"Drayton Harbor","Dakota Creek","Male",42.5,"Yellow-Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,2
"275",20,9,2022,"Drayton Harbor","Dakota Creek","Female",47,"Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,1
"276",20,9,2022,"Drayton Harbor","Dakota Creek","Male",39.5,"Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,2
"278",20,9,2022,"Drayton Harbor","California Creek","Female",41,"Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,1
"279",20,9,2022,"Drayton Harbor","California Creek","Male",39,"Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,2
"280",20,9,2022,"Drayton Harbor","California Creek","Male",71,"Yellow-Orange","N",2021,"Shrimp",NA,NA,1.66666666666667,1.58333333333333,2
"281",21,9,2022,"Drayton Harbor","California Creek","Male",41,"Yellow-Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"282",21,9,2022,"Drayton Harbor","California Creek","Male",34,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"284",27,9,2022,"Drayton Harbor","North","Male",38,"Light-Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,2
"285",27,9,2022,"Drayton Harbor","North","Female",40,"Light-Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,1
"286",27,9,2022,"Drayton Harbor","North","Female",39,"Light-Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,1
"289",27,9,2022,"Drayton Harbor","North","Male",41,"Light-Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,2
"290",27,9,2022,"Drayton Harbor","East","Male",31,"Light-Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"291",27,9,2022,"Drayton Harbor","East","Female",35,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"292",27,9,2022,"Drayton Harbor","East","Female",40,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"293",27,9,2022,"Drayton Harbor","East","Male",49,"Light-Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"294",27,9,2022,"Drayton Harbor","East","Male",37,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"295",27,9,2022,"Drayton Harbor","East","Female",33,"Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,1
"296",27,9,2022,"Drayton Harbor","East","Female",36,"Light-Green","N",2022,"Shrimp",NA,NA,0.666666666666667,0.583333333333333,1
"297",27,9,2022,"Drayton Harbor","East","Male",45,"Yellow-Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"298",27,9,2022,"Drayton Harbor","East","Male",44,"Light-Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"299",27,9,2022,"Drayton Harbor","East","Female",43,"Light-Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"300",27,9,2022,"Drayton Harbor","East","Female",42,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"301",27,9,2022,"Drayton Harbor","East","Male",46,"Light-Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"302",27,9,2022,"Drayton Harbor","East","Male",46,"Light-Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,2
"303",28,9,2022,"Drayton Harbor","East","Female",43,"Green","N",2022,"Minnow",NA,NA,0.666666666666667,0.583333333333333,1
"306",4,10,2022,"Drayton Harbor","Dakota Creek","Male",40,"Yellow/Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"308",4,10,2022,"Drayton Harbor","Dakota Creek","Female",43,"Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,1
"309",4,10,2022,"Drayton Harbor","Dakota Creek","Male",47,"Light-Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"310",4,10,2022,"Drayton Harbor","Dakota Creek","Female",47,"Light-Green/Dark-Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,1
"311",4,10,2022,"Drayton Harbor","Dakota Creek","Male",49,"Yellow/Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"312",4,10,2022,"Drayton Harbor","Dakota Creek","Female",42,"Light-Green/Dark-Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,1
"313",4,10,2022,"Drayton Harbor","Dakota Creek","Male",45,"Yellow/Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"314",4,10,2022,"Drayton Harbor","Dakota Creek","Male",44,"Light-Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"315",4,10,2022,"Drayton Harbor","Dakota Creek","Female",39,"Light-Green/Dark-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"316",4,10,2022,"Drayton Harbor","Dakota Creek","Male",42,"Light-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"317",4,10,2022,"Drayton Harbor","Dakota Creek","Male",54,"Light-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"318",4,10,2022,"Drayton Harbor","Dakota Creek","Female",37,"Green/Dark-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"319",4,10,2022,"Drayton Harbor","Dakota Creek","Female",41,"Green/Dark-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"320",4,10,2022,"Drayton Harbor","Dakota Creek","Male",49,"Yellow/Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"321",4,10,2022,"Drayton Harbor","Dakota Creek","Male",52,"Yellow/Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"322",4,10,2022,"Drayton Harbor","Dakota Creek","Male",50,"Yellow/Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"323",4,10,2022,"Drayton Harbor","Dakota Creek","Female",37,"Light-Green/Dark-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"324",4,10,2022,"Drayton Harbor","Dakota Creek","Female",45,"Yellow/Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"325",4,10,2022,"Drayton Harbor","Dakota Creek","Male",37,"Green/Light-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"326",4,10,2022,"Drayton Harbor","California Creek","Male",49,"Yellow/Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"327",4,10,2022,"Drayton Harbor","East","Male",45,"Light-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"328",4,10,2022,"Drayton Harbor","East","Male",39,"Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"329",4,10,2022,"Drayton Harbor","East","Male",47,"Yellow/Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"330",4,10,2022,"Drayton Harbor","East","Male",51,"Yellow/Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"331",4,10,2022,"Drayton Harbor","East","Male",49,"Light-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"332",4,10,2022,"Drayton Harbor","East","Female",46,"Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"333",4,10,2022,"Drayton Harbor","East","Male",47,"Light-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"334",5,10,2022,"Drayton Harbor","California Creek","Male",46.5,"Yellow","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"335",5,10,2022,"Drayton Harbor","California Creek","Male",45.5,"Light-Green/Yellow","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"336",5,10,2022,"Drayton Harbor","California Creek","Female",48,"Yellow/Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"337",5,10,2022,"Drayton Harbor","California Creek","Male",49,"Light-Green/Yellow","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"338",5,10,2022,"Drayton Harbor","California Creek","Female",46,"Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"339",5,10,2022,"Drayton Harbor","California Creek","Female",48,"Light-Green/Dark-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"340",5,10,2022,"Drayton Harbor","Dakota Creek","Female",46,"Light-Green/Yellow","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,1
"343",5,10,2022,"Drayton Harbor","Dakota Creek","Female",45,"Light-Green/Yellow","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,1
"344",5,10,2022,"Drayton Harbor","Dakota Creek","Female",39,"Light-Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,1
"345",5,10,2022,"Drayton Harbor","Dakota Creek","Female",45,"Light-Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,1
"347",5,10,2022,"Drayton Harbor","Dakota Creek","Male",47.5,"Yellow","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"348",5,10,2022,"Drayton Harbor","Dakota Creek","Female",41,"Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,1
"349",5,10,2022,"Drayton Harbor","Dakota Creek","Female",36,"Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"350",5,10,2022,"Drayton Harbor","Dakota Creek","Male",40,"Light-Green/Yellow","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"351",5,10,2022,"Drayton Harbor","East","Male",53,"Yellow","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"352",5,10,2022,"Drayton Harbor","East","Female",37,"Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"353",5,10,2022,"Drayton Harbor","East","Female",37,"Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"354",5,10,2022,"Drayton Harbor","East","Female",43,"Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"355",6,10,2022,"Drayton Harbor","North","Female",39.5,"Green","N",2022,"Fukui",NA,NA,0.777777777777778,0.666666666666667,1
"356",6,10,2022,"Drayton Harbor","North","Male",42,"Light-Green/Yellow","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"357",6,10,2022,"Drayton Harbor","North","Male",45.5,"Yellow/Green","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"359",6,10,2022,"Drayton Harbor","Dakota Creek","Male",45.5,"Light-Green/Yellow","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"361",6,10,2022,"Drayton Harbor","Dakota Creek","Female",49.5,"Yellow/Dark-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"362",6,10,2022,"Drayton Harbor","Dakota Creek","Male",44,"Light-Green/Yellow","N",2022,"Shrimp",NA,NA,0.777777777777778,0.666666666666667,2
"365",6,10,2022,"Drayton Harbor","California Creek","Male",39.5,"Light-Green/Yellow","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,2
"366",6,10,2022,"Drayton Harbor","East","Female",40,"Light-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"367",6,10,2022,"Drayton Harbor","East","Female",39.5,"Yellow/Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"368",6,10,2022,"Drayton Harbor","East","Female",32,"Light-Green","N",2022,"Minnow",NA,NA,0.777777777777778,0.666666666666667,1
"369",27,5,2020,"Drayton Harbor","Core - Pillars","Male",52,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"370",27,5,2020,"Drayton Harbor","Core - Pillars","Male",61,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"371",27,5,2020,"Drayton Harbor","Core - Pillars","Male",56,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"372",27,5,2020,"Drayton Harbor","Core - Pillars","Female",43,"Red/Orange","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"373",27,5,2020,"Drayton Harbor","Core - Pillars","Female",49,"Red/Orange","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,1
"374",27,5,2020,"Drayton Harbor","Core - Pillars","Female",49,"Red/Orange","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"375",27,5,2020,"Drayton Harbor","Core - Pillars","Female",45,"Red/Orange","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"376",27,5,2020,"Drayton Harbor","Core - Pillars","Female",51,"Red/Orange","Yes",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"377",27,5,2020,"Drayton Harbor","Core - Pillars","Male",42,"Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"378",27,5,2020,"Drayton Harbor","Core - Pillars","Male",49,"Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"379",27,5,2020,"Drayton Harbor","Core - Pillars","Male",48,"Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"380",27,5,2020,"Drayton Harbor","Core - Pillars","Female",49,"Red/Orange","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"381",27,5,2020,"Drayton Harbor","Core - Pillars","Male",55.5,"Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"382",27,5,2020,"Drayton Harbor","Core - Pillars","Male",53,"Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"383",27,5,2020,"Drayton Harbor","Core - Pillars","Female",51,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,1
"384",27,5,2020,"Drayton Harbor","Core - Pillars","Male",51,"Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"385",27,5,2020,"Drayton Harbor","Core - Pillars","Female",43,"Light-Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,1
"386",27,5,2020,"Drayton Harbor","Core - Pillars","Male",51,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"387",27,5,2020,"Drayton Harbor","Core - Pillars","Male",47,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"388",27,5,2020,"Drayton Harbor","Core - Pillars","Male",49.4,"Light-Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"389",27,5,2020,"Drayton Harbor","Core - Pillars","Male",51.7,"Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"390",27,5,2020,"Drayton Harbor","Core - California Creek","Male",43,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"391",27,5,2020,"Drayton Harbor","Core - California Creek","Male",40,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"392",27,5,2020,"Drayton Harbor","Core - California Creek","Male",45,"Dark-Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"393",28,5,2020,"Drayton Harbor","Core - Pillars","Male",47,"Yellow","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"394",28,5,2020,"Drayton Harbor","Core - Pillars","Male",53,"Yellow","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"395",28,5,2020,"Drayton Harbor","Core - Pillars","Female",47,"Orange","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"396",28,5,2020,"Drayton Harbor","Core - Pillars","Female",47,"Orange","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"397",28,5,2020,"Drayton Harbor","Core - Pillars","Male",53,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,2
"398",28,5,2020,"Drayton Harbor","Prospecting - California Creek - Bridge","Female",52,"Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"399",28,5,2020,"Drayton Harbor","Prospecting - California Creek - Bridge","Female",47,"Orange","Yes",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"400",29,5,2020,"Drayton Harbor","Core - Pillars","Female",41.5,"Orange","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"401",29,5,2020,"Drayton Harbor","Core - Pillars","Female",38,"Orange","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
"402",29,5,2020,"Drayton Harbor","Core - Pillars","Male",48,"Green","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"403",29,5,2020,"Drayton Harbor","Core - Pillars","Female",44.5,"Green","No",2019,"Fukui",NA,NA,1.22222222222222,1.25,1
"404",29,5,2020,"Drayton Harbor","Core - Pillars","Male",50,"Yellow","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,2
"405",29,5,2020,"Drayton Harbor","Prospecting - Pillars","Female",43.5,"Orange","No",2019,"Minnow",NA,NA,1.22222222222222,1.25,1
